"Rider_1"	"Name"	"Team.x"	"Rider"	"Value"	"Rank"	"Rider.No."	"Team.y"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
"J. JEGAT"	"Alain"	"The Eight Musketeers"	"Jordan Jegat"	1	29	201	"TOTALENERGIES"	"03h 41' 11''"	"+ 00h 01' 10''"	"-"	"-"	"stage-2"	3	41	11	13271	3H 41M 11S
"J. JEGAT"	"Jonathan"	"Pedal Dammit"	"Jordan Jegat"	1	29	201	"TOTALENERGIES"	"03h 41' 11''"	"+ 00h 01' 10''"	"-"	"-"	"stage-2"	3	41	11	13271	3H 41M 11S
"J. STEWART"	"Janet"	"No Idea"	"Jake Stewart"	1	155	137	"NSN CYCLING TEAM"	"03h 53' 57''"	"+ 00h 13' 56''"	"-"	"-"	"stage-2"	3	53	57	14037	3H 53M 57S
"J. TARLING"	"Chris & Jill"	"Mystery Package"	"Joshua Tarling"	1	85	87	"NETCOMPANY INEOS CYCLING TEAM"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
"J. TARLING"	"Janet"	"No Idea"	"Josh Tarling"	1	85	87	"NETCOMPANY INEOS CYCLING TEAM"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
"J. VINGEGAARD"	"Ashley"	"Le Grand Fromage"	"Jonas Vingegaard"	1	4	11	"TEAM VISMA | LEASE A BIKE"	"03h 40' 01''"	"-"	"-"	"-"	"stage-2"	3	40	1	13201	3H 40M 1S
"J. VINGEGAARD"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Jonas Vingegaard"	1	4	11	"TEAM VISMA | LEASE A BIKE"	"03h 40' 01''"	"-"	"-"	"-"	"stage-2"	3	40	1	13201	3H 40M 1S
"K. VAUQUELIN"	"Chris & Jill"	"Mystery Package"	"Kévin Vauquelin "	1	51	88	"NETCOMPANY INEOS CYCLING TEAM"	"03h 46' 53''"	"+ 00h 06' 52''"	"-"	"-"	"stage-2"	3	46	53	13613	3H 46M 53S
"K. VAUQUELIN"	"Ian"	"Shed Brewery"	"Kévin Vauquelin"	1	51	88	"NETCOMPANY INEOS CYCLING TEAM"	"03h 46' 53''"	"+ 00h 06' 52''"	"-"	"-"	"stage-2"	3	46	53	13613	3H 46M 53S
"K. VAUQUELIN"	"Jacques"	"Team Spanky"	"Kevin Vauquelin"	1	51	88	"NETCOMPANY INEOS CYCLING TEAM"	"03h 46' 53''"	"+ 00h 06' 52''"	"-"	"-"	"stage-2"	3	46	53	13613	3H 46M 53S
