"Rank"	"Rider"	"Rider.No."	"Team"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
17	"A. BAUDIN"	43	"EF EDUCATION - EASYPOST"	"00h 22' 44''"	"+ 00h 00' 57''"	"-"	"-"	"stage-1"	0	22	44	1364	22M 44S
18	"T. PIDCOCK"	171	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"00h 22' 44''"	"+ 00h 00' 57''"	"-"	"-"	"stage-1"	0	22	44	1364	22M 44S
19	"I. VAN WILDER"	97	"SOUDAL QUICK-STEP"	"00h 22' 45''"	"+ 00h 00' 58''"	"-"	"-"	"stage-1"	0	22	45	1365	22M 45S
20	"T. JOHANNESSEN"	121	"UNO-X MOBILITY"	"00h 22' 47''"	"+ 00h 01' 00''"	"-"	"-"	"stage-1"	0	22	47	1367	22M 47S
21	"T. ARENSMAN"	82	"NETCOMPANY INEOS CYCLING TEAM"	"00h 22' 48''"	"+ 00h 01' 01''"	"-"	"-"	"stage-1"	0	22	48	1368	22M 48S
22	"J. JEGAT"	201	"TOTALENERGIES"	"00h 22' 49''"	"+ 00h 01' 02''"	"-"	"-"	"stage-1"	0	22	49	1369	22M 49S
23	"M. VACEK"	37	"LIDL-TREK"	"00h 22' 59''"	"+ 00h 01' 12''"	"-"	"-"	"stage-1"	0	22	59	1379	22M 59S
24	"A. MOLENAAR"	224	"CAJA RURAL-SEGUROS RGA"	"00h 22' 59''"	"+ 00h 01' 12''"	"-"	"-"	"stage-1"	0	22	59	1379	22M 59S
25	"Y. VOISARD"	198	"TUDOR PRO CYCLING TEAM"	"00h 23' 01''"	"+ 00h 01' 14''"	"-"	"-"	"stage-1"	0	23	1	1381	23M 1S
26	"K. VAUQUELIN"	88	"NETCOMPANY INEOS CYCLING TEAM"	"00h 23' 01''"	"+ 00h 01' 14''"	"-"	"-"	"stage-1"	0	23	1	1381	23M 1S
27	"G. BENNETT"	133	"NSN CYCLING TEAM"	"00h 23' 03''"	"+ 00h 01' 16''"	"-"	"-"	"stage-1"	0	23	3	1383	23M 3S
28	"I. IZAGIRRE"	161	"COFIDIS"	"00h 23' 04''"	"+ 00h 01' 17''"	"-"	"-"	"stage-1"	0	23	4	1384	23M 4S
29	"R. GARCIA"	144	"MOVISTAR TEAM"	"00h 23' 05''"	"+ 00h 01' 18''"	"-"	"-"	"stage-1"	0	23	5	1385	23M 5S
30	"J. ALAPHILIPPE"	191	"TUDOR PRO CYCLING TEAM"	"00h 23' 12''"	"+ 00h 01' 25''"	"-"	"-"	"stage-1"	0	23	12	1392	23M 12S
31	"T. TRÆEN"	127	"UNO-X MOBILITY"	"00h 23' 16''"	"+ 00h 01' 29''"	"-"	"-"	"stage-1"	0	23	16	1396	23M 16S
32	"G. STEINHAUSER"	46	"EF EDUCATION - EASYPOST"	"00h 23' 17''"	"+ 00h 01' 30''"	"-"	"-"	"stage-1"	0	23	17	1397	23M 17S
33	"M. SKJELMOSE"	35	"LIDL-TREK"	"00h 23' 20''"	"+ 00h 01' 33''"	"-"	"-"	"stage-1"	0	23	20	1400	23M 20S
34	"L. VAN EETVELT"	156	"LOTTO INTERMARCHE"	"00h 23' 23''"	"+ 00h 01' 36''"	"-"	"-"	"stage-1"	0	23	23	1403	23M 23S
35	"R. CARAPAZ"	41	"EF EDUCATION - EASYPOST"	"00h 23' 23''"	"+ 00h 01' 36''"	"-"	"-"	"stage-1"	0	23	23	1403	23M 23S
36	"J. PARRA"	228	"CAJA RURAL-SEGUROS RGA"	"00h 23' 25''"	"+ 00h 01' 38''"	"-"	"-"	"stage-1"	0	23	25	1405	23M 25S
37	"P. CASTRILLO"	142	"MOVISTAR TEAM"	"00h 23' 38''"	"+ 00h 01' 51''"	"-"	"-"	"stage-1"	0	23	38	1418	23M 38S
38	"J. CEPEDA"	143	"MOVISTAR TEAM"	"00h 23' 38''"	"+ 00h 01' 51''"	"-"	"-"	"stage-1"	0	23	38	1418	23M 38S
39	"A. BALDERSTONE"	222	"CAJA RURAL-SEGUROS RGA"	"00h 23' 39''"	"+ 00h 01' 52''"	"-"	"-"	"stage-1"	0	23	39	1419	23M 39S
40	"C. UIJTDEBROEKS"	141	"MOVISTAR TEAM"	"00h 23' 40''"	"+ 00h 01' 53''"	"-"	"-"	"stage-1"	0	23	40	1420	23M 40S
41	"R. DHONDT"	215	"TEAM PICNIC POSTNL"	"00h 23' 42''"	"+ 00h 01' 55''"	"-"	"-"	"stage-1"	0	23	42	1422	23M 42S
42	"L. PLAPP"	117	"TEAM JAYCO ALULA"	"00h 23' 44''"	"+ 00h 01' 57''"	"-"	"-"	"stage-1"	0	23	44	1424	23M 44S
43	"S. KUSS"	17	"TEAM VISMA | LEASE A BIKE"	"00h 23' 45''"	"+ 00h 01' 58''"	"-"	"-"	"stage-1"	0	23	45	1425	23M 45S
44	"A. PARET PEINTRE"	56	"DECATHLON CMA CGM TEAM"	"00h 23' 49''"	"+ 00h 02' 02''"	"-"	"-"	"stage-1"	0	23	49	1429	23M 49S
45	"D. GEE"	32	"LIDL-TREK"	"00h 23' 50''"	"+ 00h 02' 03''"	"-"	"-"	"stage-1"	0	23	50	1430	23M 50S
46	"M. VAN GILS"	28	"RED BULL - BORA - HANSGROHE"	"00h 23' 51''"	"+ 00h 02' 04''"	"-"	"-"	"stage-1"	0	23	51	1431	23M 51S
47	"D. VAN BAARLE"	95	"SOUDAL QUICK-STEP"	"00h 23' 53''"	"+ 00h 02' 06''"	"-"	"-"	"stage-1"	0	23	53	1433	23M 53S
48	"M. LE BERRE"	206	"TOTALENERGIES"	"00h 23' 53''"	"+ 00h 02' 06''"	"-"	"-"	"stage-1"	0	23	53	1433	23M 53S
49	"S. QUINN"	45	"EF EDUCATION - EASYPOST"	"00h 23' 55''"	"+ 00h 02' 08''"	"-"	"-"	"stage-1"	0	23	55	1435	23M 55S
50	"D. GODON"	85	"NETCOMPANY INEOS CYCLING TEAM"	"00h 23' 57''"	"+ 00h 02' 10''"	"-"	"-"	"stage-1"	0	23	57	1437	23M 57S
51	"J. BERCKMOES"	153	"LOTTO INTERMARCHE"	"00h 23' 57''"	"+ 00h 02' 10''"	"-"	"-"	"stage-1"	0	23	57	1437	23M 57S
52	"E. VERSTRYNGE"	108	"ALPECIN-PREMIER TECH"	"00h 23' 58''"	"+ 00h 02' 11''"	"-"	"-"	"stage-1"	0	23	58	1438	23M 58S
53	"J. TARLING"	87	"NETCOMPANY INEOS CYCLING TEAM"	"00h 24' 01''"	"+ 00h 02' 14''"	"-"	"-"	"stage-1"	0	24	1	1441	24M 1S
54	"S. HIGUITA"	61	"XDS ASTANA TEAM"	"00h 24' 05''"	"+ 00h 02' 18''"	"-"	"-"	"stage-1"	0	24	5	1445	24M 5S
55	"J. HINDLEY"	24	"RED BULL - BORA - HANSGROHE"	"00h 24' 11''"	"+ 00h 02' 24''"	"-"	"-"	"stage-1"	0	24	11	1451	24M 11S
56	"M. HIRSCHI"	194	"TUDOR PRO CYCLING TEAM"	"00h 24' 12''"	"+ 00h 02' 25''"	"-"	"-"	"stage-1"	0	24	12	1452	24M 12S
57	"B. MCNULTY"	4	"UAE TEAM EMIRATES XRG"	"00h 24' 13''"	"+ 00h 02' 26''"	"-"	"-"	"stage-1"	0	24	13	1453	24M 13S
58	"C. BRAZ AFONSO"	183	"GROUPAMA-FDJ UNITED"	"00h 24' 17''"	"+ 00h 02' 30''"	"-"	"-"	"stage-1"	0	24	17	1457	24M 17S
59	"M. JORGENSON"	16	"TEAM VISMA | LEASE A BIKE"	"00h 24' 17''"	"+ 00h 02' 30''"	"-"	"-"	"stage-1"	0	24	17	1457	24M 17S
60	"F. VAN DEN BROEK"	218	"TEAM PICNIC POSTNL"	"00h 24' 20''"	"+ 00h 02' 33''"	"-"	"-"	"stage-1"	0	24	20	1460	24M 20S
61	"M. HEßMANN"	145	"MOVISTAR TEAM"	"00h 24' 23''"	"+ 00h 02' 36''"	"-"	"-"	"stage-1"	0	24	23	1463	24M 23S
62	"N. OLIVEIRA"	146	"MOVISTAR TEAM"	"00h 24' 23''"	"+ 00h 02' 36''"	"-"	"-"	"stage-1"	0	24	23	1463	24M 23S
63	"M. VERCHER"	208	"TOTALENERGIES"	"00h 24' 24''"	"+ 00h 02' 37''"	"-"	"-"	"stage-1"	0	24	24	1464	24M 24S
64	"N. BREUILLARD"	202	"TOTALENERGIES"	"00h 24' 24''"	"+ 00h 02' 37''"	"-"	"-"	"stage-1"	0	24	24	1464	24M 24S
65	"A. KIRSCH"	166	"COFIDIS"	"00h 24' 25''"	"+ 00h 02' 38''"	"-"	"-"	"stage-1"	0	24	25	1465	24M 25S
66	"R. DEBRUYNE"	102	"ALPECIN-PREMIER TECH"	"00h 24' 27''"	"+ 00h 02' 40''"	"-"	"-"	"stage-1"	0	24	27	1467	24M 27S
67	"Q. HERMANS"	174	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"00h 24' 30''"	"+ 00h 02' 43''"	"-"	"-"	"stage-1"	0	24	30	1470	24M 30S
68	"H. TEJADA"	65	"XDS ASTANA TEAM"	"00h 24' 33''"	"+ 00h 02' 46''"	"-"	"-"	"stage-1"	0	24	33	1473	24M 33S
69	"J. STUYVEN"	94	"SOUDAL QUICK-STEP"	"00h 24' 33''"	"+ 00h 02' 46''"	"-"	"-"	"stage-1"	0	24	33	1473	24M 33S
70	"V. PARET PEINTRE"	93	"SOUDAL QUICK-STEP"	"00h 24' 33''"	"+ 00h 02' 46''"	"-"	"-"	"stage-1"	0	24	33	1473	24M 33S
71	"J. ROMO"	147	"MOVISTAR TEAM"	"00h 24' 33''"	"+ 00h 02' 46''"	"-"	"-"	"stage-1"	0	24	33	1473	24M 33S
72	"F. GROSSSCHARTNER"	3	"UAE TEAM EMIRATES XRG"	"00h 24' 41''"	"+ 00h 02' 54''"	"-"	"-"	"stage-1"	0	24	41	1481	24M 41S
73	"M. KWIATKOWSKI"	86	"NETCOMPANY INEOS CYCLING TEAM"	"00h 24' 47''"	"+ 00h 03' 00''"	"-"	"-"	"stage-1"	0	24	47	1487	24M 47S
74	"T. WELLENS"	7	"UAE TEAM EMIRATES XRG"	"00h 24' 49''"	"+ 00h 03' 02''"	"-"	"-"	"stage-1"	0	24	49	1489	24M 49S
75	"F. BIESTERBOS"	212	"TEAM PICNIC POSTNL"	"00h 24' 52''"	"+ 00h 03' 05''"	"-"	"-"	"stage-1"	0	24	52	1492	24M 52S
76	"P. BITTNER"	213	"TEAM PICNIC POSTNL"	"00h 24' 52''"	"+ 00h 03' 05''"	"-"	"-"	"stage-1"	0	24	52	1492	24M 52S
77	"W. BARGUIL"	211	"TEAM PICNIC POSTNL"	"00h 24' 52''"	"+ 00h 03' 05''"	"-"	"-"	"stage-1"	0	24	52	1492	24M 52S
78	"J. DEGENKOLB"	214	"TEAM PICNIC POSTNL"	"00h 24' 52''"	"+ 00h 03' 05''"	"-"	"-"	"stage-1"	0	24	52	1492	24M 52S
79	"J. VAN DEN BERG"	217	"TEAM PICNIC POSTNL"	"00h 24' 52''"	"+ 00h 03' 05''"	"-"	"-"	"stage-1"	0	24	52	1492	24M 52S
80	"E. BERNAL"	81	"NETCOMPANY INEOS CYCLING TEAM"	"00h 24' 53''"	"+ 00h 03' 06''"	"-"	"-"	"stage-1"	0	24	53	1493	24M 53S
81	"B. GIRMAY"	131	"NSN CYCLING TEAM"	"00h 24' 57''"	"+ 00h 03' 10''"	"-"	"-"	"stage-1"	0	24	57	1497	24M 57S
82	"T. MARSMAN"	104	"ALPECIN-PREMIER TECH"	"00h 24' 57''"	"+ 00h 03' 10''"	"-"	"-"	"stage-1"	0	24	57	1497	24M 57S
83	"M. KANTER"	64	"XDS ASTANA TEAM"	"00h 24' 57''"	"+ 00h 03' 10''"	"-"	"-"	"stage-1"	0	24	57	1497	24M 57S
84	"B. HEALY"	44	"EF EDUCATION - EASYPOST"	"00h 24' 58''"	"+ 00h 03' 11''"	"-"	"-"	"stage-1"	0	24	58	1498	24M 58S
85	"K. ASGREEN"	42	"EF EDUCATION - EASYPOST"	"00h 24' 58''"	"+ 00h 03' 11''"	"-"	"-"	"stage-1"	0	24	58	1498	24M 58S
86	"D. CARUSO"	73	"BAHRAIN VICTORIOUS"	"00h 24' 59''"	"+ 00h 03' 12''"	"-"	"-"	"stage-1"	0	24	59	1499	24M 59S
87	"A. CHARMIG"	123	"UNO-X MOBILITY"	"00h 24' 59''"	"+ 00h 03' 12''"	"-"	"-"	"stage-1"	0	24	59	1499	24M 59S
88	"V. VAN MECHELEN"	78	"BAHRAIN VICTORIOUS"	"00h 25' 00''"	"+ 00h 03' 13''"	"-"	"-"	"stage-1"	0	25	0	1500	25M 0S
89	"M. FRIGO"	134	"NSN CYCLING TEAM"	"00h 25' 01''"	"+ 00h 03' 14''"	"-"	"-"	"stage-1"	0	25	1	1501	25M 1S
90	"K. NEILANDS"	136	"NSN CYCLING TEAM"	"00h 25' 01''"	"+ 00h 03' 14''"	"-"	"-"	"stage-1"	0	25	1	1501	25M 1S
91	"T. VAN ASBROECK"	138	"NSN CYCLING TEAM"	"00h 25' 01''"	"+ 00h 03' 14''"	"-"	"-"	"stage-1"	0	25	1	1501	25M 1S
92	"L. ASKEY"	132	"NSN CYCLING TEAM"	"00h 25' 01''"	"+ 00h 03' 14''"	"-"	"-"	"stage-1"	0	25	1	1501	25M 1S
93	"B. THOMAS"	168	"COFIDIS"	"00h 25' 02''"	"+ 00h 03' 15''"	"-"	"-"	"stage-1"	0	25	2	1502	25M 2S
94	"C. RUSSO"	188	"GROUPAMA-FDJ UNITED"	"00h 25' 02''"	"+ 00h 03' 15''"	"-"	"-"	"stage-1"	0	25	2	1502	25M 2S
95	"L. GERMANI"	185	"GROUPAMA-FDJ UNITED"	"00h 25' 02''"	"+ 00h 03' 15''"	"-"	"-"	"stage-1"	0	25	2	1502	25M 2S
96	"E. COSTIOU"	184	"GROUPAMA-FDJ UNITED"	"00h 25' 02''"	"+ 00h 03' 15''"	"-"	"-"	"stage-1"	0	25	2	1502	25M 2S
97	"N. MÄRKL"	216	"TEAM PICNIC POSTNL"	"00h 25' 03''"	"+ 00h 03' 16''"	"-"	"-"	"stage-1"	0	25	3	1503	25M 3S
98	"Q. PACHER"	187	"GROUPAMA-FDJ UNITED"	"00h 25' 05''"	"+ 00h 03' 18''"	"-"	"-"	"stage-1"	0	25	5	1505	25M 5S
99	"T. BENOOT"	52	"DECATHLON CMA CGM TEAM"	"00h 25' 06''"	"+ 00h 03' 19''"	"-"	"-"	"stage-1"	0	25	6	1506	25M 6S
100	"D. HOWSON"	175	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"00h 25' 08''"	"+ 00h 03' 21''"	"-"	"-"	"stage-1"	0	25	8	1508	25M 8S
101	"F. WRIGHT"	178	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"00h 25' 09''"	"+ 00h 03' 22''"	"-"	"-"	"stage-1"	0	25	9	1509	25M 9S
102	"E. RUBIO"	148	"MOVISTAR TEAM"	"00h 25' 12''"	"+ 00h 03' 25''"	"-"	"-"	"stage-1"	0	25	12	1512	25M 12S
103	"M. STORER"	196	"TUDOR PRO CYCLING TEAM"	"00h 25' 14''"	"+ 00h 03' 27''"	"-"	"-"	"stage-1"	0	25	14	1514	25M 14S
104	"L. VERVAEKE"	98	"SOUDAL QUICK-STEP"	"00h 25' 15''"	"+ 00h 03' 28''"	"-"	"-"	"stage-1"	0	25	15	1515	25M 15S
