"Rider_1"	"Name"	"Team.x"	"Rider"	"Value"	"Rider.No."	"Team.y"	"Points"	"Stage_no"
"F. LIPOWITZ"	"Judy"	"Barcelona Breakaway"	"Florian Lipowitz"	1	25	"RED BULL - BORA - HANSGROHE"	13	"stage-3"
"F. WRIGHT"	"Janet"	"No Idea"	"Fred Wright"	1	0	"0"	0	"0"
"G. MARTIN GUYONNET"	"Alain"	"The Eight Musketeers"	"Guillaume Martin-Guyonnet"	1	0	"0"	0	"0"
"G. ZIMMERMANN"	"Alex"	"Team Saucisson"	"Georg Zimmermann"	1	0	"0"	0	"0"
"I. DEL TORO"	"Julie"	"Can’t catch me 🙂"	"Isaac del Toro"	1	2	"UAE TEAM EMIRATES XRG"	9	"stage-3"
"J. ABRAHAMSEN"	"James"	"Škoda Drivers"	"Jonas Abrahamsen"	1	0	"0"	0	"0"
"J. AYUSO"	"Judy"	"Barcelona Breakaway"	"Juan Ayuso"	1	31	"LIDL-TREK"	7	"stage-3"
"J. AYUSO"	"Dirk"	"Tintin en Velo"	"Juan Ayuso"	1	31	"LIDL-TREK"	7	"stage-3"
"J. AYUSO"	"Alex"	"Team Saucisson"	"Juan Ayuso"	1	31	"LIDL-TREK"	7	"stage-3"
"J. AYUSO"	"Pete"	"The Clean Team"	"Juan Ayuso"	1	31	"LIDL-TREK"	7	"stage-3"
"J. AYUSO"	"Conor"	"iPaddy Rides Again"	"Juan Ayuso"	1	31	"LIDL-TREK"	7	"stage-3"
"J. AYUSO"	"James"	"Škoda Drivers"	"Juan Ayuso"	1	31	"LIDL-TREK"	7	"stage-3"
"J. HINDLEY"	"Mary"	"The Lion Kings"	"Jai Hindley"	1	0	"0"	0	"0"
"J. HINDLEY"	"Janet"	"No Idea"	"Jai Hindley"	1	0	"0"	0	"0"
"J. JEGAT"	"Jonathan"	"Pedal Dammit"	"Jordan Jegat"	1	201	"TOTALENERGIES"	3	"stage-3"
"J. JEGAT"	"Alain"	"The Eight Musketeers"	"Jordan Jegat"	1	201	"TOTALENERGIES"	3	"stage-3"
"J. STEWART"	"Janet"	"No Idea"	"Jake Stewart"	1	0	"0"	0	"0"
"J. TARLING"	"Chris & Jill"	"Mystery Package"	"Joshua Tarling"	1	0	"0"	0	"0"
"J. TARLING"	"Janet"	"No Idea"	"Josh Tarling"	1	0	"0"	0	"0"
"J. VINGEGAARD"	"Ashley"	"Le Grand Fromage"	"Jonas Vingegaard"	1	11	"TEAM VISMA | LEASE A BIKE"	25	"stage-3"
"J. VINGEGAARD"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Jonas Vingegaard"	1	11	"TEAM VISMA | LEASE A BIKE"	25	"stage-3"
"K. VAUQUELIN"	"Chris & Jill"	"Mystery Package"	"Kévin Vauquelin "	1	0	"0"	0	"0"
"K. VAUQUELIN"	"Ian"	"Shed Brewery"	"Kévin Vauquelin"	1	0	"0"	0	"0"
"K. VAUQUELIN"	"Jacques"	"Team Spanky"	"Kevin Vauquelin"	1	0	"0"	0	"0"
"K. VAUQUELIN"	"Alain"	"The Eight Musketeers"	"Kévin Vauquelin"	1	0	"0"	0	"0"
"L. ASKEY"	"Janet"	"No Idea"	"Lewis Askey"	1	0	"0"	0	"0"
"L. MARTINEZ"	"James"	"Škoda Drivers"	"Lenny Martinez"	1	71	"BAHRAIN VICTORIOUS"	4	"stage-3"
"L. MARTINEZ"	"Matthew"	"Last Minute Lemmings"	"Lenny Martinez"	1	71	"BAHRAIN VICTORIOUS"	4	"stage-3"
"L. MARTINEZ"	"Alain"	"The Eight Musketeers"	"Lenny Martinez"	1	71	"BAHRAIN VICTORIOUS"	4	"stage-3"
"L. MARTINEZ"	"Ashley"	"Le Grand Fromage"	"Lenny Martinez"	1	71	"BAHRAIN VICTORIOUS"	4	"stage-3"
"L. MARTINEZ"	"Jacques"	"Team Spanky"	"Lenny Martinez"	1	71	"BAHRAIN VICTORIOUS"	4	"stage-3"
"L. MARTINEZ"	"Mary"	"The Lion Kings"	"Lenny Martinez"	1	71	"BAHRAIN VICTORIOUS"	4	"stage-3"
"L. PLAPP"	"Jonathan"	"Pedal Dammit"	"Luke Plapp"	1	117	"TEAM JAYCO ALULA"	9	"stage-3"
"L. VAN EETVELT"	"Ian"	"Shed Brewery"	"Lennert Van Eetvelt"	1	156	"LOTTO INTERMARCHE"	15	"stage-3"
"M. JORGENSON"	"Chris & Jill"	"Mystery Package"	"Matteo Jorgenson "	1	0	"0"	0	"0"
"M. JORGENSON"	"Judy"	"Barcelona Breakaway"	"Matteo Jorgenson "	1	0	"0"	0	"0"
"M. JORGENSON"	"Conor"	"iPaddy Rides Again"	"Matteo Jorgenson "	1	0	"0"	0	"0"
"M. JORGENSON"	"Ian"	"Shed Brewery"	"Matteo Jorgenson "	1	0	"0"	0	"0"
"M. JORGENSON"	"Matthew"	"Last Minute Lemmings"	"Matteo Jorgenson"	1	0	"0"	0	"0"
"M. PEDERSEN"	"James"	"Škoda Drivers"	"Mads Pedersen"	1	33	"LIDL-TREK"	25	"stage-3"
"M. PEDERSEN"	"Chris & Jill"	"Mystery Package"	"Mads Pedersen"	1	33	"LIDL-TREK"	25	"stage-3"
"M. SKJELMOSE"	"Judy"	"Barcelona Breakaway"	"Mattias Skjelmose"	1	35	"LIDL-TREK"	6	"stage-3"
"M. SKJELMOSE"	"Mary"	"The Lion Kings"	"Mattias Skjelmose"	1	35	"LIDL-TREK"	6	"stage-3"
"M. STORER"	"Alex"	"Team Saucisson"	"Michael Storer"	1	196	"TUDOR PRO CYCLING TEAM"	14	"stage-3"
"M. VACEK"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Mathias Vacek"	1	0	"0"	0	"0"
"O. KOOIJ"	"Ashley"	"Le Grand Fromage"	"Olaf Kooij"	1	0	"0"	0	"0"
"O. KOOIJ"	"James"	"Škoda Drivers"	"Olav Kooij"	1	0	"0"	0	"0"
"O. KOOIJ"	"Julie"	"Can’t catch me 🙂"	"Olaf Kooij"	1	0	"0"	0	"0"
"P. HAGENES"	"Julie"	"Can’t catch me 🙂"	"Per Strand Hagenes"	1	0	"0"	0	"0"
"P. SEIXAS"	"James"	"Škoda Drivers"	"Paul Seixas"	1	51	"DECATHLON CMA CGM TEAM"	19	"stage-3"
"P. SEIXAS"	"Alain"	"The Eight Musketeers"	"Paul Seixas"	1	51	"DECATHLON CMA CGM TEAM"	19	"stage-3"
"Q. SIMMONS"	"Jonathan"	"Pedal Dammit"	"Quin Simmons"	1	0	"0"	0	"0"
"R. CARAPAZ"	"Pete"	"The Clean Team"	"Richard Carapaz"	1	41	"EF EDUCATION - EASYPOST"	22	"stage-3"
"R. CARAPAZ"	"Conor"	"iPaddy Rides Again"	"Richard Carapaz"	1	41	"EF EDUCATION - EASYPOST"	22	"stage-3"
"R. CARAPAZ"	"Judy"	"Barcelona Breakaway"	"Richard Carapaz"	1	41	"EF EDUCATION - EASYPOST"	22	"stage-3"
"R. CARAPAZ"	"Alex"	"Team Saucisson"	"Richard Carapaz"	1	41	"EF EDUCATION - EASYPOST"	22	"stage-3"
"R. GARCIA"	"Alex"	"Team Saucisson"	"Raúl Garcia Pierna"	1	0	"0"	0	"0"
"R. GREGOIRE"	"Alain"	"The Eight Musketeers"	"Romain Grégoire"	1	181	"GROUPAMA-FDJ UNITED"	0	"stage-3"
"S. KUSS"	"Conor"	"iPaddy Rides Again"	"Sep Kuss"	1	0	"0"	0	"0"
"S. KUSS"	"Julie"	"Can’t catch me 🙂"	"Sep Kuss"	1	0	"0"	0	"0"
"S. WAERENSKJOLD"	"Julie"	"Can’t catch me 🙂"	"Søren Wærenskjold"	1	128	"UNO-X MOBILITY"	0	"stage-3"
"T. ARENSMAN"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Thymen Arensman"	1	0	"0"	0	"0"
"T. ARENSMAN"	"Ashley"	"Le Grand Fromage"	"Thymen Arensman"	1	0	"0"	0	"0"
"T. ARENSMAN"	"Mary"	"The Lion Kings"	"Thymen Arensman"	1	0	"0"	0	"0"
"T. ARENSMAN"	"Jonathan"	"Pedal Dammit"	"Thymen Arensman"	1	0	"0"	0	"0"
"T. ARENSMAN"	"Dirk"	"Tintin en Velo"	"Thymen Arensman"	1	0	"0"	0	"0"
"T. JOHANNESSEN"	"Ashley"	"Le Grand Fromage"	"Tobias Halland Johannessen"	1	121	"UNO-X MOBILITY"	17	"stage-3"
"T. JOHANNESSEN"	"Julie"	"Can’t catch me 🙂"	"Tobias Halland Johannessen"	1	121	"UNO-X MOBILITY"	17	"stage-3"
"T. MERLIER"	"Chris & Jill"	"Mystery Package"	"Tim Merlier "	1	91	"SOUDAL QUICK-STEP"	0	"stage-3"
"T. MERLIER"	"James"	"Škoda Drivers"	"Tim Merlier"	1	91	"SOUDAL QUICK-STEP"	0	"stage-3"
"T. MERLIER"	"Jacques"	"Team Spanky"	"Tim Merlier"	1	91	"SOUDAL QUICK-STEP"	0	"stage-3"
"T. MERLIER"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Tim Merlier"	1	91	"SOUDAL QUICK-STEP"	0	"stage-3"
"T. MERLIER"	"Alex"	"Team Saucisson"	"Tim Merlier"	1	91	"SOUDAL QUICK-STEP"	0	"stage-3"
"T. MERLIER"	"Dirk"	"Tintin en Velo"	"Tim Merlier"	1	91	"SOUDAL QUICK-STEP"	0	"stage-3"
"T. PIDCOCK"	"Ian"	"Shed Brewery"	"Tom Pidcock"	1	171	"PINARELLO-Q36.5 PRO CYCLING TEAM"	0	"stage-3"
"T. PIDCOCK"	"Janet"	"No Idea"	"Tom Pidcock"	1	171	"PINARELLO-Q36.5 PRO CYCLING TEAM"	0	"stage-3"
"T. POGACAR"	"Conor"	"iPaddy Rides Again"	"Tadej Pogačar"	1	1	"UAE TEAM EMIRATES XRG"	30	"stage-3"
"T. POGACAR"	"Chris & Jill"	"Mystery Package"	"Tadej Pogačar"	1	1	"UAE TEAM EMIRATES XRG"	30	"stage-3"
"T. POGACAR"	"Matthew"	"Last Minute Lemmings"	"Tadej Pogačar"	1	1	"UAE TEAM EMIRATES XRG"	30	"stage-3"
"T. POGACAR"	"Pete"	"The Clean Team"	"Tadej Pogačar"	1	1	"UAE TEAM EMIRATES XRG"	30	"stage-3"
"T. POGACAR"	"Judy"	"Barcelona Breakaway"	"Tadej Pogačar"	1	1	"UAE TEAM EMIRATES XRG"	30	"stage-3"
"T. POGACAR"	"Alex"	"Team Saucisson"	"Tadej Pogacar"	1	1	"UAE TEAM EMIRATES XRG"	30	"stage-3"
"T. POGACAR"	"Dirk"	"Tintin en Velo"	"Tadej Pogačar"	1	1	"UAE TEAM EMIRATES XRG"	30	"stage-3"
"T. POGACAR"	"Jacques"	"Team Spanky"	"Tadej Pogacar"	1	1	"UAE TEAM EMIRATES XRG"	30	"stage-3"
"T. POGACAR"	"Mary"	"The Lion Kings"	"Tadej Pogačar"	1	1	"UAE TEAM EMIRATES XRG"	30	"stage-3"
"T. POGACAR"	"Jonathan"	"Pedal Dammit"	"Tadej Pogačar"	1	1	"UAE TEAM EMIRATES XRG"	30	"stage-3"
"T. WELLENS"	"Jonathan"	"Pedal Dammit"	"Tim Wellens"	1	7	"UAE TEAM EMIRATES XRG"	0	"stage-3"
"V. CAMPENAERTS"	"Matthew"	"Last Minute Lemmings"	"Victor Campenaerts"	1	0	"0"	0	"0"
"V. PARET PEINTRE"	"Alain"	"The Eight Musketeers"	"Valentin Paret-Peintre"	1	0	"0"	0	"0"
"V. PARET PEINTRE"	"Dirk"	"Tintin en Velo"	"Valentin Paret-Peintre"	1	0	"0"	0	"0"
